,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
435,Ibra,OM,52.69,22.69,58.55,64,8,2.26
436,Fukue,JP,62.6,35.03,136.69,88,75,3.36
437,Tomatlan,MX,89.05,19.93,-105.25,55,20,6.29
438,Fatehpur Sikri,IN,65.2,27.09,77.66,64,0,2.71
439,Clyde River,CA,19.4,70.47,-68.59,79,75,3.36
440,Unai,BR,90.04,-16.36,-46.91,30,24,2.93
441,Skibotn,NO,53.6,69.39,20.27,66,75,53.02
442,Zaranj,AF,68,30.95,61.86,34,0,26.4
443,Moron,VE,77,10.49,-68.2,94,20,3.27
444,Barcelos,PT,63.77,41.53,-8.62,93,75,18.34
445,Nago,IT,53.83,45.88,10.89,82,0,4.7
446,Cidreira,BR,64.12,-30.17,-50.22,87,76,14.45
447,Songjianghe,CN,30.19,42.18,127.48,77,0,5.39
448,Werda,DE,53.71,50.44,12.3,81,0,2.24
449,Astoria,US,64.04,46.19,-123.83,44,1,17.22
450,Luderitz,NA,60.8,-26.65,15.16,82,32,6.93
451,Butembo,CD,60.07,0.12,29.29,95,48,1.92
452,Orlik,RU,3.55,52.51,99.83,51,0,1.92
453,Takanosu,JP,37.57,40.22,140.37,92,24,2.37
454,Iralaya,HN,87.8,15,-83.23,70,75,9.17
455,Pinega,RU,24.97,64.7,43.39,86,64,2.37
456,Moramanga,MG,59.71,-18.95,48.23,100,92,2.59
457,Dingle,PH,76,11,122.67,92,56,2.37
458,Oranjestad,AW,78.8,12.52,-70.03,83,75,9.17
459,Meulaboh,ID,77.35,4.14,96.13,100,56,5.73
460,Jalu,LY,68.08,29.03,21.55,51,0,8.52
461,Meridian,US,80.06,32.36,-88.7,43,1,5.82
462,Ashtabula,US,47.84,41.87,-80.79,89,90,5.82
463,Sao Filipe,CV,79.24,14.9,-24.5,97,0,16.24
464,Los Alamos,US,64.27,35.88,-106.3,38,1,5.82
465,Le Port,FR,45.13,42.87,1.37,97,32,1.7
466,Vao,EE,54.4,59.1,26.19,87,36,9.08
467,Santa Rosa,AR,77.53,-36.62,-64.29,22,0,6.4
468,Hervey Bay,AU,67.45,-25.3,152.85,100,80,10.65
469,Niquelandia,BR,90.4,-14.47,-48.46,35,24,2.59
470,Bolshoye Murashkino,RU,45.13,55.78,44.78,94,92,4.83
471,Urengoy,RU,25.87,65.96,78.37,82,56,8.75
472,Oriximina,BR,93.1,-1.77,-55.87,42,0,5.73
473,Klyuchi,RU,31.27,52.25,79.17,87,0,7.18
474,Ochamchira,GE,65.92,42.71,41.47,100,0,6.96
475,La Palma,CO,73.93,5.36,-74.39,80,36,1.14
476,Leshukonskoye,RU,31.18,64.9,45.76,97,68,2.37
477,Inirida,CO,85,3.87,-67.92,77,56,1.92
478,Wajima,JP,62.86,37.4,136.9,92,80,8.19
479,Las Vegas,US,75.31,36.17,-115.15,35,1,4.7
480,Carnarvon,ZA,60.61,-30.97,22.13,56,36,16.02
481,Sarangani,PH,81.04,5.4,125.46,100,48,2.26
482,Torbeyevo,RU,42.97,54.07,43.25,93,80,5.5
483,Marrakesh,MA,77,31.63,-7.99,53,20,5.82
484,Shambu,ET,51.52,9.57,37.1,84,48,2.37
485,Mezen,RU,28.75,65.85,44.24,86,44,2.71
486,Rimouski,CA,41,48.45,-68.52,60,90,16.11
487,Indianola,US,66.13,40.24,-100.42,57,40,13.87
488,Yabrud,SY,66.2,33.97,36.66,55,0,11.41
489,Merauke,ID,76.54,-8.49,140.4,100,56,9.08
490,Hongjiang,CN,53.59,27.21,109.83,100,100,3.15
491,Kholm,RU,43.6,57.15,31.18,88,0,3.71
492,Puerto Quijarro,BO,91.42,-19,-57.72,52,20,6.93
493,San Juan,AR,63.31,-31.54,-68.53,56,80,4.94
494,Namibe,AO,69.88,-15.19,12.15,100,80,6.73
495,Coolum Beach,AU,63.85,-26.53,153.09,100,92,10.76
496,Korcula,HR,62.6,42.96,17.14,59,0,4.7
497,Kulhudhuffushi,MV,81.13,6.62,73.07,100,68,6.85
498,Kuching,MY,73.4,1.56,110.34,100,90,6.85
499,Saint Anthony,US,42.98,43.97,-111.68,12,92,12.75
500,Harbour Breton,CA,50.17,47.48,-55.8,98,92,9.19
501,Lobito,AO,61.6,-12.35,13.55,95,8,2.48
502,Caravelas,BR,77.26,-17.73,-39.27,100,0,18.48
503,Praia,BR,89.56,-20.25,-43.81,35,40,5.82
504,Paamiut,GL,35.95,61.99,-49.67,100,0,26.53
505,Maryborough,AU,64.12,-25.54,152.7,86,64,5.73
506,Turayf,SA,71.6,31.68,38.65,43,0,6.93
507,Brownsville,US,91.38,25.91,-97.49,59,75,24.16
508,Strand,ZA,64.66,-34.11,18.83,86,32,12.55
509,Krivosheino,RU,39.55,57.34,83.93,100,80,14.56
510,Rawson,AR,71.41,-43.3,-65.11,22,0,11.43
511,Harrison,US,50.25,39.26,-84.82,57,1,6.93
512,Aksehir,TR,49.54,38.36,31.42,99,36,1.14
513,La Reforma,GT,84.2,14.8,-91.82,74,75,5.82
514,Axim,GH,78.97,4.87,-2.24,100,92,9.19
515,Skibbereen,IE,48.2,51.55,-9.27,87,75,10.29
516,Cache Creek,CA,59.04,50.81,-121.33,45,20,21.92
517,Okahandja,NA,66.2,-21.98,16.91,14,0,4.7
518,Solnechnyy,RU,33.61,50.72,136.64,77,0,4.94
519,Benjamin Hill,MX,68.71,30.17,-111.1,95,88,6.29
520,Cambui,BR,73.75,-22.61,-46.06,66,68,9.08
521,Moussoro,TD,75.37,13.64,16.49,65,24,2.71
522,Atbasar,KZ,29.74,51.81,68.36,85,80,6.29
523,Dakar,SN,82.4,14.69,-17.45,83,40,13.87
524,Mount Gambier,AU,64.21,-37.83,140.78,69,56,10.42
525,King City,US,69.98,36.21,-121.13,65,1,9.17
526,Khuzdar,PK,51.07,27.8,66.62,56,0,4.94
527,Tibati,CM,70.87,6.47,12.63,62,92,4.72
528,Vestmannaeyjar,IS,44.77,63.44,-20.27,94,92,14.56
529,Seoul,KR,44.53,37.57,126.98,76,0,3.36
530,Palauig,PH,75.37,15.44,119.9,100,8,2.48
531,Tucurui,BR,88.42,-3.77,-49.67,58,8,1.92
532,Tocopilla,CL,63.22,-22.09,-70.2,90,12,9.31
533,Aras,YE,48.1,14.28,44.38,48,0,4.16
534,Japura,ID,70.96,-0.42,102.29,99,92,2.37
535,Krasnorechenskiy,RU,33.61,44.63,135.35,68,0,2.71
536,Jumla,NP,30.28,29.28,82.18,82,0,2.48
537,Marion,US,57.43,38.35,-97.02,64,1,11.41
538,Bosaso,SO,85.54,11.28,49.18,90,48,9.42
539,Cascais,PT,70.72,38.7,-9.42,94,75,27.51
540,San Jose,PH,73.3,15.79,120.99,96,68,2.15
541,Suhbaatar,MN,26.32,50.23,106.21,78,0,2.37
542,Sokolo,ML,84.73,14.74,-6.12,37,24,10.54
543,Suhut,TR,45.76,38.53,30.55,90,32,2.48
544,Susangerd,IR,80.6,31.56,48.19,42,0,0.69
545,Utena,LT,45.4,55.5,25.6,86,0,3.15
546,Kidal,ML,78.25,18.44,1.41,23,0,7.18
547,Suslovo,RU,51.25,56.22,88.12,57,80,12.1
548,Bouna,CI,78.25,9.27,-3,80,32,4.38
549,Dzhebariki-Khaya,RU,9.13,62.22,135.8,84,0,2.93
550,Aranda de Duero,ES,59.98,41.67,-3.69,73,24,9.53
551,Xining,CN,17.5,36.62,101.77,72,20,0.36
552,Abu Samrah,SY,61.96,35.3,37.18,81,0,3.38
553,Sheffield,GB,68.04,53.38,-1.47,68,0,23.04
554,Chama,ZM,76.63,-11.22,33.16,50,48,10.87
555,Phuthaditjhaba,ZA,40,-28.53,28.82,97,92,1.81
556,Dubti,ET,74.65,11.74,41.09,35,0,5.84
557,Evanston,US,52.07,42.04,-87.69,48,40,12.75
558,Tornio,FI,51.8,61.12,27.27,100,75,4.7
559,Kamenka,RU,41.17,53.19,44.05,94,12,6.4
560,Katherine,AU,80.6,-14.47,132.26,65,0,6.93
561,Pio XII,BR,83.92,-3.89,-45.17,72,36,7.18
562,Bom Jesus,BR,95.26,-9.08,-44.36,25,36,5.39
